City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
306,Turkistan,43.0,68.0,43.72,few clouds,47,16,5.53,KZ
307,Takestan,36.0696,49.6959,46.53,broken clouds,36,74,4.32,IR
308,Port Hardy,50.6996,-127.4199,33.98,broken clouds,93,75,2.3,CA
309,Beringovskiy,63.05,179.3167,14.43,overcast clouds,96,96,5.19,RU
310,Portland,45.5234,-122.6762,44.62,overcast clouds,85,100,1.01,US
311,Ambon,-3.6954,128.1814,89.74,scattered clouds,66,40,8.05,ID
312,Omsukchan,62.5333,155.8,-20.51,overcast clouds,98,96,4.21,RU
313,Bermejo,-32.8833,-68.8,67.91,scattered clouds,56,40,17.27,AR
314,Yanji,42.9075,129.5078,55.09,broken clouds,52,70,4.56,CN
315,Marzuq,14.4,46.4667,71.87,clear sky,38,2,2.21,YE
316,Bratsk,56.1325,101.6142,25.29,overcast clouds,74,99,13.24,RU
317,Megion,61.0296,76.1136,30.22,overcast clouds,96,98,1.77,RU
318,Malgrat De Mar,41.6466,2.7414,61.95,overcast clouds,83,100,2.66,ES
319,Freeport,40.6576,-73.5832,53.96,scattered clouds,77,40,3.44,US
320,Daru,-9.0763,143.2092,84.45,few clouds,64,22,13.38,PG
321,Diapaga,12.0708,1.7889,74.39,clear sky,32,0,2.55,BF
322,Nsoko,-27.0333,31.95,71.19,overcast clouds,81,92,8.59,SZ
323,Sitka,57.0531,-135.33,35.49,light snow,75,100,13.8,US
324,Mitsamiouli,-11.3847,43.2844,82.69,few clouds,61,20,13.8,KM
325,Pevek,69.7008,170.3133,-5.31,overcast clouds,98,100,2.57,RU
326,Ambatondrazaka,-17.8333,48.4167,74.77,broken clouds,45,83,0.96,MG
327,Callaway,30.153,-85.5699,63.99,clear sky,70,0,10.36,US
328,Waghai,20.7667,73.4833,87.12,clear sky,32,9,2.46,IN
329,Nishihara,26.1842,127.7558,74.86,overcast clouds,89,100,13.8,JP
330,Canutama,-6.5339,-64.3831,73.18,scattered clouds,96,48,3.31,BR
331,Husavik,66.0449,-17.3389,41.34,overcast clouds,99,100,10.27,IS
332,Boxmeer,51.6467,5.9472,49.05,clear sky,93,0,9.22,NL
333,Quang Ngai,15.1167,108.8,83.16,scattered clouds,73,49,7.83,VN
334,Sagar,23.8333,78.7167,79.84,clear sky,38,1,3.09,IN
335,Los Llanos De Aridane,28.6585,-17.9182,65.95,scattered clouds,67,40,10.36,ES
336,Aksay,47.26,39.87,45.25,broken clouds,63,65,8.01,RU
337,Abbeville,50.1,1.8333,55.36,clear sky,94,3,9.35,FR
338,Bambanglipuro,-7.95,110.2833,82.11,overcast clouds,73,94,4.47,ID
339,Alta Floresta,-9.8756,-56.0861,74.89,broken clouds,70,64,3.58,BR
340,Berdigestyakh,62.0989,126.6992,14.61,overcast clouds,95,100,3.71,RU
341,North Bend,43.4065,-124.2243,40.86,clear sky,99,0,6.91,US
342,Airai,-8.9266,125.4092,73.85,overcast clouds,63,85,1.77,TL
343,Pakxan,18.3778,103.6601,89.56,overcast clouds,34,100,1.05,LA
